"method","t_ladder","sim","iterations","m0","m4","m5","m6","m1","m2","m3"
1,"1",23,-1,29232,16929,0,3839,0,0,0
1,"1",23,2,52323,25810,573,21294,0,0,0
1,"1",24,-1,28795,18191,0,3014,0,0,0
1,"1",24,2,50939,22799,939,25323,0,0,0
1,"1",25,-1,29103,0,49,20848,0,0,0
1,"1",25,2,56513,0,0,0,13903,4918,24666
1,"1",26,-1,29432,0,0,0,17176,1454,1938
1,"1",26,2,53252,0,0,0,35639,2539,8570
1,"1",27,-1,27733,0,0,0,10869,8131,3267
1,"1",27,2,54280,4186,0,3894,11492,2009,24139
1,"1",28,-1,26495,2122,6571,14812,0,0,0
1,"1",28,2,51615,44365,4020,0,0,0,0
1,"1",29,-1,28527,0,0,0,4590,16883,0
1,"1",29,2,54079,32677,0,13244,0,0,0
1,"1",30,-1,28321,17798,3295,586,0,0,0
1,"1",30,2,52941,17185,29453,421,0,0,0
1,"1",31,-1,27496,0,0,0,13687,0,8817
1,"1",31,2,54290,22056,16278,7376,0,0,0
1,"1",32,-1,27544,14397,4561,3498,0,0,0
1,"1",32,2,54907,0,0,0,26388,9050,9655
1,"1",33,-1,24710,0,0,0,15685,9605,0
1,"1",33,2,55004,43585,0,1411,0,0,0
1,"1",34,-1,24770,8155,14043,3032,0,0,0
1,"1",34,2,51220,0,0,0,41097,4276,3407
1,"1",35,-1,30102,19898,0,0,0,0,0
1,"1",35,2,54020,42202,0,3778,0,0,0
1,"1",36,-1,28871,0,33,21096,0,0,0
1,"1",36,2,51607,41173,0,7220,0,0,0
1,"1",37,-1,30052,8975,4348,6625,0,0,0
1,"1",37,2,55887,29672,0,14441,0,0,0
1,"1",38,-1,28025,0,0,0,18126,0,3849
1,"1",38,2,50857,21666,9753,17724,0,0,0
1,"1",39,-1,29284,0,0,0,11924,8792,0
1,"1",39,2,53530,0,0,0,27608,18694,168
1,"1",40,-1,26058,8242,1323,14377,0,0,0
1,"1",40,2,50198,19687,7409,22706,0,0,0
1,"1",41,-1,26555,4771,2888,15786,0,0,0
1,"1",41,2,53108,14805,2888,29199,0,0,0
1,"1",42,-1,28014,4708,3264,14014,0,0,0
1,"1",42,2,51642,0,0,0,0,33194,15164
1,"1",43,-1,30080,0,0,0,19920,0,0
1,"1",43,2,53319,0,0,0,44667,1530,484
1,"1",44,-1,25912,24088,0,0,0,0,0
1,"1",44,2,53609,1113,0,0,18785,9685,16808
1,"1",45,-1,23557,2879,476,23088,0,0,0
1,"1",45,2,47292,0,0,0,20369,17428,14911
1,"1",46,-1,28334,0,0,0,3771,17895,0
1,"1",46,2,49767,16159,12317,21757,0,0,0
1,"1",47,-1,24997,21400,0,3603,0,0,0
1,"1",47,2,54828,27784,4617,12771,0,0,0
1,"1",48,-1,28613,10143,2905,8339,0,0,0
1,"1",48,2,53002,0,0,0,42197,4801,0
1,"1",49,-1,23470,25764,766,0,0,0,0
1,"1",49,2,47415,18588,3642,30355,0,0,0
1,"1",50,-1,26639,13250,0,10111,0,0,0
1,"1",50,2,50768,30620,18612,0,0,0,0
1,"1",51,-1,26128,22599,813,460,0,0,0
1,"1",51,2,50169,23668,17342,8821,0,0,0
1,"1",52,-1,23707,11943,11249,3101,0,0,0
1,"1",52,2,47650,11315,0,0,6839,30179,4017
1,"1",53,-1,26925,8202,6550,8323,0,0,0
1,"1",53,2,55946,39148,4603,303,0,0,0
1,"1",54,-1,25865,0,0,0,16303,0,7832
1,"1",54,2,55639,43335,880,146,0,0,0
1,"1",55,-1,27080,5866,14271,2783,0,0,0
1,"1",55,2,51141,0,0,0,21094,18780,8985
1,"1",56,-1,26427,23573,0,0,0,0,0
1,"1",56,2,53692,0,0,0,23371,278,22659
1,"1",57,-1,27554,0,22446,0,0,0,0
1,"1",57,2,55289,0,0,0,42251,1688,772
1,"1",58,-1,24281,1306,24413,0,0,0,0
1,"1",58,2,51420,28291,15055,5234,0,0,0
1,"1",59,-1,26022,13437,10541,0,0,0,0
1,"1",59,2,49285,8625,0,6755,3879,7080,24376
1,"1",60,-1,27123,0,2447,913,16323,0,3194
1,"1",60,2,51430,6025,0,42545,0,0,0
1,"1",61,-1,27884,0,0,0,7465,14651,0
1,"1",61,2,53885,0,0,0,9329,36786,0
1,"1",62,-1,26308,0,0,0,2090,21602,0
1,"1",62,2,52317,0,0,0,17406,29625,652
1,"1",63,-1,26886,23114,0,0,0,0,0
1,"1",63,2,52267,39994,388,7351,0,0,0
1,"1",64,-1,27459,12318,3632,6591,0,0,0
1,"1",64,2,50585,14387,6811,28217,0,0,0
1,"1",65,-1,29245,5997,0,14758,0,0,0
1,"1",65,2,55721,0,0,0,19886,22224,2169
1,"1",66,-1,26850,0,0,0,16395,6755,0
1,"1",66,2,51103,0,0,0,32013,11598,5286
1,"1",67,-1,26531,0,6957,16512,0,0,0
1,"1",67,2,55200,0,23624,21176,0,0,0
1,"1",68,-1,25409,0,0,0,5609,16031,2951
1,"1",68,2,50963,9205,5662,34170,0,0,0
1,"1",69,-1,25442,0,0,0,0,0,24558
1,"1",69,2,49588,0,0,0,12144,4664,33604
1,"1",70,-1,27324,0,0,0,4048,18628,0
1,"1",70,2,56469,0,0,0,25738,6322,11471
1,"1",71,-1,23640,0,0,26360,0,0,0
1,"1",71,2,52294,0,0,0,23345,0,24361
1,"1",72,-1,25594,0,0,0,24406,0,0
1,"1",72,2,49850,0,0,0,49072,1078,0
1,"1",73,-1,27366,9707,4810,8117,0,0,0
1,"1",73,2,55501,0,0,0,25762,11074,7663
1,"1",74,-1,28446,2829,10308,8417,0,0,0
1,"1",74,2,56570,24524,0,18906,0,0,0
1,"1",75,-1,28027,0,0,0,12146,9827,0
1,"1",75,2,54731,0,0,0,39894,5311,64
